dictionary,degree,polynomial,support,coefficients,fail_X128,fail_X256,fail_X512,fail_training,fail_holdout,fail_all,fail_controls_all,false_positive,survives_all,first_holdout_counterexample
linear,1,rho - 2*eta,2,rho:1;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=138
linear,1,rho - eta,2,rho:1;eta:-1,30,30,75,135,227,362,362,0,0,X=1024;n=1773;p=1229;residue=341
linear,1,rho + eta,2,rho:1;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=747
linear,1,rho + 2*eta,2,rho:1;eta:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=950
linear,1,2*rho - eta,2,rho:2;eta:-1,28,30,75,133,235,368,368,0,0,X=1024;n=1773;p=1229;residue=885
linear,1,2*rho + eta,2,rho:2;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=62
linear,1,rho - 2*jet_u,2,rho:1;jet_u:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=691
linear,1,rho - jet_u,2,rho:1;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=3
linear,1,rho + jet_u,2,rho:1;jet_u:1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=1085
linear,1,rho + 2*jet_u,2,rho:1;jet_u:2,29,29,75,133,234,367,369,0,0,X=1024;n=1773;p=1229;residue=397
linear,1,2*rho - jet_u,2,rho:2;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=547
linear,1,2*rho + jet_u,2,rho:2;jet_u:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=400
linear,1,tau - 2*eta,2,tau:1;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=151
linear,1,tau - eta,2,tau:1;eta:-1,29,30,75,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=354
linear,1,tau + eta,2,tau:1;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=760
linear,1,tau + 2*eta,2,tau:1;eta:2,30,30,75,135,231,366,366,0,0,X=1024;n=1773;p=1229;residue=963
linear,1,2*tau - eta,2,tau:2;eta:-1,30,27,75,132,235,367,367,0,0,X=1024;n=1773;p=1229;residue=911
linear,1,2*tau + eta,2,tau:2;eta:1,28,30,75,133,235,368,368,0,0,X=1024;n=1773;p=1229;residue=88
linear,1,tau - 2*jet_u,2,tau:1;jet_u:-2,30,29,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=704
linear,1,tau - jet_u,2,tau:1;jet_u:-1,30,29,74,133,235,368,370,0,0,X=1024;n=1773;p=1229;residue=16
linear,1,tau + jet_u,2,tau:1;jet_u:1,30,30,74,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=1098
linear,1,tau + 2*jet_u,2,tau:1;jet_u:2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=410
linear,1,2*tau - jet_u,2,tau:2;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=573
linear,1,2*tau + jet_u,2,tau:2;jet_u:1,30,30,74,134,235,369,368,0,0,X=1024;n=1773;p=1229;residue=426
linear,1,eta - 2*jet_u,2,eta:1;jet_u:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=350
linear,1,eta - jet_u,2,eta:1;jet_u:-1,30,29,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=891
linear,1,eta + jet_u,2,eta:1;jet_u:1,30,30,74,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=744
linear,1,eta + 2*jet_u,2,eta:1;jet_u:2,30,30,75,135,233,368,369,0,0,X=1024;n=1773;p=1229;residue=56
linear,1,2*eta - jet_u,2,eta:2;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1094
linear,1,2*eta + jet_u,2,eta:2;jet_u:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=947
linear,1,1 - 2*q - 2*rho,3,1:1;q:-2;rho:-2,30,30,74,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=140
linear,1,1 - 2*q - rho,3,1:1;q:-2;rho:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=684
linear,1,1 - 2*q + rho,3,1:1;q:-2;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=543
linear,1,1 - 2*q + 2*rho,3,1:1;q:-2;rho:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1087
linear,1,1 - q - 2*rho,3,1:1;q:-1;rho:-2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=141
linear,1,1 - q - rho,3,1:1;q:-1;rho:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=685
linear,1,1 - q + rho,3,1:1;q:-1;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=544
linear,1,1 - q + 2*rho,3,1:1;q:-1;rho:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1088
linear,1,1 + q - 2*rho,3,1:1;q:1;rho:-2,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=143
linear,1,1 + q - rho,3,1:1;q:1;rho:-1,30,30,75,135,235,370,367,0,0,X=1024;n=1773;p=1229;residue=687
linear,1,1 + q + rho,3,1:1;q:1;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=546
linear,1,1 + q + 2*rho,3,1:1;q:1;rho:2,30,29,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=1090
linear,1,1 + 2*q - 2*rho,3,1:1;q:2;rho:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=144
linear,1,1 + 2*q - rho,3,1:1;q:2;rho:-1,30,30,75,135,235,370,367,0,0,X=1024;n=1773;p=1229;residue=688
linear,1,1 + 2*q + rho,3,1:1;q:2;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=547
linear,1,1 + 2*q + 2*rho,3,1:1;q:2;rho:2,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=1091
linear,1,2*1 - 2*q - rho,3,1:2;q:-2;rho:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=685
linear,1,2*1 - 2*q + rho,3,1:2;q:-2;rho:1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=544
linear,1,2*1 - q - 2*rho,3,1:2;q:-1;rho:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=142
linear,1,2*1 - q - rho,3,1:2;q:-1;rho:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=686
linear,1,2*1 - q + rho,3,1:2;q:-1;rho:1,30,29,74,133,235,368,370,0,0,X=1024;n=1773;p=1229;residue=545
linear,1,2*1 - q + 2*rho,3,1:2;q:-1;rho:2,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=1089
linear,1,2*1 + q - 2*rho,3,1:2;q:1;rho:-2,30,30,74,134,234,368,370,0,0,X=1024;n=1773;p=1229;residue=144
linear,1,2*1 + q - rho,3,1:2;q:1;rho:-1,29,29,75,133,234,367,369,0,0,X=1024;n=1773;p=1229;residue=688
linear,1,2*1 + q + rho,3,1:2;q:1;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=547
linear,1,2*1 + q + 2*rho,3,1:2;q:1;rho:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1091
linear,1,2*1 + 2*q - rho,3,1:2;q:2;rho:-1,29,30,75,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=689
linear,1,2*1 + 2*q + rho,3,1:2;q:2;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=548
linear,1,1 - 2*q - 2*tau,3,1:1;q:-2;tau:-2,30,29,75,134,234,368,369,0,0,X=1024;n=1773;p=1229;residue=114
linear,1,1 - 2*q - tau,3,1:1;q:-2;tau:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=671
linear,1,1 - 2*q + tau,3,1:1;q:-2;tau:1,30,29,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=556
linear,1,1 - 2*q + 2*tau,3,1:1;q:-2;tau:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1113
linear,1,1 - q - 2*tau,3,1:1;q:-1;tau:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=115
linear,1,1 - q - tau,3,1:1;q:-1;tau:-1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=672
linear,1,1 - q + tau,3,1:1;q:-1;tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=557
linear,1,1 - q + 2*tau,3,1:1;q:-1;tau:2,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=1114
linear,1,1 + q - 2*tau,3,1:1;q:1;tau:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=117
linear,1,1 + q - tau,3,1:1;q:1;tau:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=674
linear,1,1 + q + tau,3,1:1;q:1;tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=559
linear,1,1 + q + 2*tau,3,1:1;q:1;tau:2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=1116
linear,1,1 + 2*q - 2*tau,3,1:1;q:2;tau:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=118
linear,1,1 + 2*q - tau,3,1:1;q:2;tau:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=675
linear,1,1 + 2*q + tau,3,1:1;q:2;tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=560
linear,1,1 + 2*q + 2*tau,3,1:1;q:2;tau:2,30,30,74,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=1117
linear,1,2*1 - 2*q - tau,3,1:2;q:-2;tau:-1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=672
linear,1,2*1 - 2*q + tau,3,1:2;q:-2;tau:1,30,30,74,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=557
linear,1,2*1 - q - 2*tau,3,1:2;q:-1;tau:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=116
linear,1,2*1 - q - tau,3,1:2;q:-1;tau:-1,30,30,74,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=673
linear,1,2*1 - q + tau,3,1:2;q:-1;tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=558
linear,1,2*1 - q + 2*tau,3,1:2;q:-1;tau:2,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=1115
linear,1,2*1 + q - 2*tau,3,1:2;q:1;tau:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=118
linear,1,2*1 + q - tau,3,1:2;q:1;tau:-1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=675
linear,1,2*1 + q + tau,3,1:2;q:1;tau:1,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=560
linear,1,2*1 + q + 2*tau,3,1:2;q:1;tau:2,29,30,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=1117
linear,1,2*1 + 2*q - tau,3,1:2;q:2;tau:-1,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=676
linear,1,2*1 + 2*q + tau,3,1:2;q:2;tau:1,29,30,75,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=561
linear,1,1 - 2*q - 2*eta,3,1:1;q:-2;eta:-2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=822
linear,1,1 - 2*q - eta,3,1:1;q:-2;eta:-1,29,30,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=1025
linear,1,1 - 2*q + eta,3,1:1;q:-2;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=202
linear,1,1 - 2*q + 2*eta,3,1:1;q:-2;eta:2,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=405
linear,1,1 - q - 2*eta,3,1:1;q:-1;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=823
linear,1,1 - q - eta,3,1:1;q:-1;eta:-1,29,30,75,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=1026
linear,1,1 - q + eta,3,1:1;q:-1;eta:1,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=203
linear,1,1 - q + 2*eta,3,1:1;q:-1;eta:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=406
linear,1,1 + q - 2*eta,3,1:1;q:1;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=825
linear,1,1 + q - eta,3,1:1;q:1;eta:-1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=1028
linear,1,1 + q + eta,3,1:1;q:1;eta:1,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=205
linear,1,1 + q + 2*eta,3,1:1;q:1;eta:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=408
linear,1,1 + 2*q - 2*eta,3,1:1;q:2;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=826
linear,1,1 + 2*q - eta,3,1:1;q:2;eta:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1029
linear,1,1 + 2*q + eta,3,1:1;q:2;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=206
linear,1,1 + 2*q + 2*eta,3,1:1;q:2;eta:2,29,30,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=409
linear,1,2*1 - 2*q - eta,3,1:2;q:-2;eta:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1026
linear,1,2*1 - 2*q + eta,3,1:2;q:-2;eta:1,30,30,74,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=203
linear,1,2*1 - q - 2*eta,3,1:2;q:-1;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=824
linear,1,2*1 - q - eta,3,1:2;q:-1;eta:-1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=1027
linear,1,2*1 - q + eta,3,1:2;q:-1;eta:1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=204
linear,1,2*1 - q + 2*eta,3,1:2;q:-1;eta:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=407
linear,1,2*1 + q - 2*eta,3,1:2;q:1;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=826
linear,1,2*1 + q - eta,3,1:2;q:1;eta:-1,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=1029
linear,1,2*1 + q + eta,3,1:2;q:1;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=206
linear,1,2*1 + q + 2*eta,3,1:2;q:1;eta:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=409
linear,1,2*1 + 2*q - eta,3,1:2;q:2;eta:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1030
linear,1,2*1 + 2*q + eta,3,1:2;q:2;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=207
linear,1,1 - 2*q - 2*jet_u,3,1:1;q:-2;jet_u:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=146
linear,1,1 - 2*q - jet_u,3,1:1;q:-2;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=687
linear,1,1 - 2*q + jet_u,3,1:1;q:-2;jet_u:1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=540
linear,1,1 - 2*q + 2*jet_u,3,1:1;q:-2;jet_u:2,30,30,74,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=1081
linear,1,1 - q - 2*jet_u,3,1:1;q:-1;jet_u:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=147
linear,1,1 - q - jet_u,3,1:1;q:-1;jet_u:-1,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=688
linear,1,1 - q + jet_u,3,1:1;q:-1;jet_u:1,29,30,75,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=541
linear,1,1 - q + 2*jet_u,3,1:1;q:-1;jet_u:2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=1082
linear,1,1 + q - 2*jet_u,3,1:1;q:1;jet_u:-2,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=149
linear,1,1 + q - jet_u,3,1:1;q:1;jet_u:-1,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=690
linear,1,1 + q + jet_u,3,1:1;q:1;jet_u:1,29,30,75,134,234,368,370,0,0,X=1024;n=1773;p=1229;residue=543
linear,1,1 + q + 2*jet_u,3,1:1;q:1;jet_u:2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=1084
linear,1,1 + 2*q - 2*jet_u,3,1:1;q:2;jet_u:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=150
linear,1,1 + 2*q - jet_u,3,1:1;q:2;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=691
linear,1,1 + 2*q + jet_u,3,1:1;q:2;jet_u:1,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=544
linear,1,1 + 2*q + 2*jet_u,3,1:1;q:2;jet_u:2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=1085
linear,1,2*1 - 2*q - jet_u,3,1:2;q:-2;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=688
linear,1,2*1 - 2*q + jet_u,3,1:2;q:-2;jet_u:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=541
linear,1,2*1 - q - 2*jet_u,3,1:2;q:-1;jet_u:-2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=148
linear,1,2*1 - q - jet_u,3,1:2;q:-1;jet_u:-1,29,30,74,133,235,368,367,0,0,X=1024;n=1773;p=1229;residue=689
linear,1,2*1 - q + jet_u,3,1:2;q:-1;jet_u:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=542
linear,1,2*1 - q + 2*jet_u,3,1:2;q:-1;jet_u:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1083
linear,1,2*1 + q - 2*jet_u,3,1:2;q:1;jet_u:-2,29,30,75,134,235,369,368,0,0,X=1024;n=1773;p=1229;residue=150
linear,1,2*1 + q - jet_u,3,1:2;q:1;jet_u:-1,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=691
